Z,A,E,Yield,Error
-0.1125,-0.116666667,0.2,0.001949626,1.54E-06
-0.1125,-0.1,0.2,0.00144543,1.26E-06
-0.1125,-0.083333333,0.2,0.000909823,1.64E-06
-0.1125,-0.066666667,0.2,0.000248375,7.46E-07
-0.1125,-0.05,0.2,1.22E-05,4.38E-08
-0.1125,-0.033333333,0.2,7.78E-06,2.98E-08
-0.1125,-0.016666667,0.2,1.25E-06,4.45E-09
-0.1125,-2.22E-16,0.2,5.22E-09,1.79E-11
-0.1125,0.016666667,0.2,4.03E-11,1.37E-13
-0.1125,0.033333333,0.2,3.18E-11,1.11E-13
-0.1125,0.05,0.2,2.24E-14,1.12E-16
-0.1125,0.066666667,0.2,0,0
-0.1125,0.083333333,0.2,0,0
-0.1125,0.1,0.2,0,0
-0.075,-0.3,0.2,0,0
-0.075,-0.283333333,0.2,5.36E-12,2.67E-14
-0.075,-0.266666667,0.2,1.15E-10,4.40E-13
-0.075,-0.25,0.2,8.54E-09,3.74E-11
-0.075,-0.233333333,0.2,2.24E-08,8.88E-11
-0.075,-0.216666667,0.2,0,0
-0.075,-0.2,0.2,0,0
-0.075,-0.183333333,0.2,0,0
-0.075,-0.166666667,0.2,0,0
-0.075,-0.15,0.2,3.60E-07,1.31E-09
-0.075,-0.133333333,0.2,1.89E-05,6.41E-08
-0.075,-0.116666667,0.2,0.000196621,5.93E-07
-0.075,-0.1,0.2,0.000400887,1.05E-06
-0.075,-0.083333333,0.2,0.001145593,1.43E-06
-0.075,-0.066666667,0.2,0.000931238,1.34E-06
-0.075,-0.05,0.2,0.000535009,1.06E-06
-0.075,-0.033333333,0.2,0.00022298,5.67E-07
-0.075,-0.016666667,0.2,0.000165639,5.47E-07
-0.075,-2.22E-16,0.2,5.85E-06,1.97E-08
-0.075,0.016666667,0.2,8.38E-07,2.56E-09
-0.075,0.033333333,0.2,1.87E-07,6.44E-10
-0.075,0.05,0.2,1.99E-09,7.35E-12
-0.075,0.066666667,0.2,3.01E-11,1.12E-13
-0.075,0.083333333,0.2,1.12E-12,5.62E-15
-0.075,0.1,0.2,1.95E-15,9.70E-18
-0.075,0.116666667,0.2,0,0
-0.075,0.133333333,0.2,0,0
-0.075,0.15,0.2,0,0
-0.075,0.166666667,0.2,0,0
-0.0375,-0.266666667,0.2,0,0
-0.0375,-0.25,0.2,0,0
-0.0375,-0.233333333,0.2,0,0
-0.0375,-0.216666667,0.2,0,0
-0.0375,-0.2,0.2,0,0
-0.0375,-0.183333333,0.2,0,0
-0.0375,-0.166666667,0.2,0,0
-0.0375,-0.15,0.2,5.10E-11,1.43E-13
-0.0375,-0.133333333,0.2,4.97E-08,1.84E-10
-0.0375,-0.116666667,0.2,1.65E-06,4.12E-09
-0.0375,-0.1,0.2,2.61E-05,9.26E-08
-0.0375,-0.083333333,0.2,9.48E-05,2.16E-07
-0.0375,-0.066666667,0.2,0.000637312,1.17E-06
-0.0375,-0.05,0.2,0.0011841,1.49E-06
-0.0375,-0.033333333,0.2,0.000922013,8.75E-07
-0.0375,-0.016666667,0.2,0.001041989,1.29E-06
-0.0375,-2.22E-16,0.2,0.000477846,9.59E-07
-0.0375,0.016666667,0.2,0.00016534,4.84E-07
-0.0375,0.033333333,0.2,7.52E-05,2.44E-07
-0.0375,0.05,0.2,6.49E-06,2.38E-08
-0.0375,0.066666667,0.2,5.10E-07,1.76E-09
-0.0375,0.083333333,0.2,2.86E-08,1.03E-10
-0.0375,0.1,0.2,8.89E-10,3.18E-12
-0.0375,0.116666667,0.2,0,0
-0.0375,0.133333333,0.2,0,0
-0.0375,0.15,0.2,0,0
-0.0375,0.166666667,0.2,1.65E-15,8.28E-18
-0.0375,0.183333333,0.2,0,0
-0.0375,0.2,0.2,3.80E-18,1.90E-20
-0.0375,0.216666667,0.2,0,0
-3.75E-10,-0.216666667,0.2,0,0
