A_physical,E_group,Yield_physical
122.99999998000001,0.000 MeV,0.025260363509434496
122.99999998000001,0.525 MeV,0.04406231858833492
122.99999998000001,14.000 MeV,1.1199672903067561
124.00000000000001,0.000 MeV,0.0427913258533063
124.00000000000001,0.525 MeV,0.06333278810931334
124.00000000000001,14.000 MeV,1.2953913987125985
125.00000002000002,0.000 MeV,0.05564667661600001
125.00000002000002,0.525 MeV,0.06802940753841294
125.00000002000002,14.000 MeV,1.4576580455809347
125.99999998,0.000 MeV,0.06552588426670068
125.99999998,0.525 MeV,0.09754435162735657
125.99999998,14.000 MeV,1.8698785461203566
127.0,0.000 MeV,0.2977122132839334
127.0,0.525 MeV,0.30627630511642523
127.0,14.000 MeV,2.189847772361934
128.00000002000002,0.000 MeV,0.6988871067915223
128.00000002000002,0.525 MeV,0.5044967234070069
128.00000002000002,14.000 MeV,2.4638065331687797
128.99999998,0.000 MeV,0.7794591954894079
128.99999998,0.525 MeV,0.8351629091620726
128.99999998,14.000 MeV,3.0052858356293033
130.00000000000003,0.000 MeV,3.444877692374104
130.00000000000003,0.525 MeV,1.7946185443670004
130.00000000000003,14.000 MeV,3.6146131952931166
131.00000002000002,0.000 MeV,10.657808524847383
131.00000002000002,0.525 MeV,3.2195234150304364
131.00000002000002,14.000 MeV,4.119618345187938
131.00000002000002,3.000 MeV,0.6300000003713334
131.99999998,0.000 MeV,6.923988643118327
131.99999998,0.525 MeV,4.671031525896682
131.99999998,14.000 MeV,4.902640609237544
131.99999998,3.000 MeV,4.430000001480334
133.0,0.000 MeV,39.07227940347585
133.0,0.525 MeV,26.895907531401274
133.0,14.000 MeV,22.206611653942566
133.0,3.000 MeV,3.8300000026686667
134.00000002000002,0.000 MeV,40.62483144705298
134.00000002000002,0.170 MeV,0.8000000005743334
134.00000002000002,0.525 MeV,32.45672267027904
134.00000002000002,14.000 MeV,22.924973980200974
134.00000002000002,2.000 MeV,2.130000000638667
134.00000002000002,3.000 MeV,7.020000002287334
134.00000002000002,4.000 MeV,1.9499999977570004
134.00000002000002,5.500 MeV,2.6499999974500006
134.00000002000002,6.300 MeV,2.969999998975
134.00000002000002,7.100 MeV,3.2700000016190005
134.00000002000002,8.100 MeV,2.690000001688334
134.99999998,0.000 MeV,10.894237256146289
134.99999998,0.170 MeV,0.4999999979303334
134.99999998,0.525 MeV,6.981305995546667
134.99999998,14.000 MeV,23.01846219029071
134.99999998,2.000 MeV,0.37999999816800006
134.99999998,3.000 MeV,6.2900000010346675
134.99999998,4.000 MeV,0.4600000001683334
134.99999998,5.500 MeV,0.8899999987770002
134.99999998,6.300 MeV,0.8099999967766668
134.99999998,7.100 MeV,0.3900000008466667
136.0,0.000 MeV,10.074813149578386
136.0,0.525 MeV,6.227075713271876
136.0,14.000 MeV,5.232096871743935
136.0,3.000 MeV,6.219999995236668
137.00000002,0.000 MeV,12.149780111545093
137.00000002,0.525 MeV,6.221508703742177
137.00000002,14.000 MeV,5.037202084451828
137.00000002,3.000 MeV,6.179999997474668
137.99999998,0.000 MeV,32.115802258520624
137.99999998,0.525 MeV,26.721877655664308
137.99999998,14.000 MeV,4.622351555708111
137.99999998,3.000 MeV,6.530000000559335
139.00000000000003,0.000 MeV,11.204718368037764
139.00000000000003,0.525 MeV,6.343253964991028
139.00000000000003,14.000 MeV,4.84721273437747
139.00000000000003,3.000 MeV,6.3299999987966675
140.00000002000002,0.000 MeV,18.351010378343606
140.00000002000002,0.525 MeV,5.977928398579451
140.00000002000002,14.000 MeV,4.54766079730848
140.00000002000002,3.000 MeV,5.6200000029013335
140.99999998,0.000 MeV,17.490204228079914
140.99999998,0.525 MeV,5.9490824666961615
140.99999998,14.000 MeV,4.504180239348986
140.99999998,3.000 MeV,0.6199999976926668
142.0,0.000 MeV,14.427074167576249
142.0,0.525 MeV,5.5421430083713865
142.0,14.000 MeV,4.21394165131054
