Z,A,E,Yield,Error,Z_physical,A_physical,E_physical,Yield_physical,Error_physical,E_group
-0.6,-0.7,0.2,5.84e-05,1.83e-07,31.000000000000004,76.00000000000001,2.5300000659831888e-08,0.00037821786666666674,1.1851690000000003e-06,0.000 MeV
-0.6,-0.683333333,0.2,0.000672479,1.06e-06,31.000000000000004,77.00000002000002,2.5300000659831888e-08,0.004355198163666667,6.864913333333335e-06,0.000 MeV
-0.6,-0.666666667,0.2,0.001542143,2.51e-06,31.000000000000004,77.99999998000001,2.5300000659831888e-08,0.009987432115666668,1.625559666666667e-05,0.000 MeV
-0.6,-0.65,0.2,0.002816992,4.08e-06,31.000000000000004,79.00000000000001,2.5300000659831888e-08,0.018243779189333335,2.642344e-05,0.000 MeV
-0.6,-0.633333333,0.2,0.001679118,3.39e-06,31.000000000000004,80.00000002000002,2.5300000659831888e-08,0.010874527874000001,2.1954770000000003e-05,0.000 MeV
-0.6,-0.616666667,0.2,0.000866182,2.48e-06,31.000000000000004,80.99999998,2.5300000659831888e-08,0.005609683359333334,1.6061306666666668e-05,0.000 MeV
-0.6,-0.6,0.2,0.000362379,1.18e-06,31.000000000000004,82.0,2.5300000659831888e-08,0.0023468871970000003,7.642073333333334e-06,0.000 MeV
-0.6,-0.583333333,0.2,2.53e-05,1e-07,31.000000000000004,83.00000002,2.5300000659831888e-08,0.00016385123333333335,6.476333333333334e-07,0.000 MeV
-0.6,-0.566666667,0.2,2.15e-06,9.68e-09,31.000000000000004,83.99999998000001,2.5300000659831888e-08,1.392411666666667e-05,6.269090666666667e-08,0.000 MeV
-0.6,-0.55,0.2,3.2e-07,1.26e-09,31.000000000000004,85.0,2.5300000659831888e-08,2.072426666666667e-06,8.160180000000001e-09,0.000 MeV
-0.6,-0.533333333,0.2,4.93e-11,2.47e-13,31.000000000000004,86.00000002000002,2.5300000659831888e-08,3.1928323333333337e-10,1.5996543333333336e-12,0.000 MeV
-0.6,-0.516666667,0.2,6.19e-09,3.1e-11,31.000000000000004,86.99999998000001,2.5300000659831888e-08,4.008850333333334e-08,2.0076633333333338e-10,0.000 MeV
-0.6,-0.5,0.2,1.76e-11,8.77e-14,31.000000000000004,88.00000000000001,2.5300000659831888e-08,1.1398346666666668e-10,5.679744333333333e-13,0.000 MeV
-0.6,-0.483333334,0.2,0.0,0.0,31.000000000000004,88.99999996,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.5625,-0.816666666,0.2,0.0,0.0,32.0,69.00000004,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.5625,-0.8,0.2,0.0,0.0,32.0,70.0,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.5625,-0.783333333,0.2,2.04e-14,8.45e-17,32.0,71.00000002000002,2.5300000659831888e-08,1.3211720000000002e-13,5.472501666666668e-16,0.000 MeV
-0.5625,-0.766666667,0.2,7.81e-12,3.91e-14,32.0,71.99999998000001,2.5300000659831888e-08,5.058016333333334e-11,2.5322463333333334e-13,0.000 MeV
-0.5625,-0.75,0.2,4.8e-10,1.73e-12,32.0,73.00000000000001,2.5300000659831888e-08,3.1086400000000005e-09,1.1204056666666668e-11,0.000 MeV
-0.5625,-0.733333333,0.2,1.46e-08,5.94e-11,32.0,74.00000002,2.5300000659831888e-08,9.455446666666668e-08,3.8469420000000004e-10,0.000 MeV
-0.5625,-0.716666667,0.2,3.63e-07,9.73e-10,32.0,74.99999998,2.5300000659831888e-08,2.3509090000000003e-06,6.301472333333334e-09,0.000 MeV
-0.5625,-0.7,0.2,6.85e-06,2.4e-08,32.0,76.00000000000001,2.5300000659831888e-08,4.436288333333334e-05,1.55432e-07,0.000 MeV
-0.5625,-0.683333333,0.2,0.000131845,2.82e-07,32.0,77.00000002000002,2.5300000659831888e-08,0.0008538721683333335,1.8263260000000003e-06,0.000 MeV
-0.5625,-0.666666667,0.2,0.001022584,1.66e-06,32.0,77.99999998000001,2.5300000659831888e-08,0.0066225948453333345,1.0750713333333334e-05,0.000 MeV
-0.5625,-0.65,0.2,0.003620761,3.1e-06,32.0,79.00000000000001,2.5300000659831888e-08,0.023449255156333337,2.0076633333333337e-05,0.000 MeV
-0.5625,-0.633333333,0.2,0.016348989,8.49e-06,32.0,80.00000002000002,2.5300000659831888e-08,0.10588150242700002,5.4984070000000006e-05,0.000 MeV
-0.5625,-0.616666667,0.2,0.020267229,1.85e-05,32.0,80.99999998,2.5300000659831888e-08,0.13125733074700002,0.00011981216666666667,0.000 MeV
-0.5625,-0.6,0.2,0.019035308,3.21e-05,32.0,82.0,2.5300000659831888e-08,0.12327899971066669,0.00020789030000000004,0.000 MeV
-0.5625,-0.583333333,0.2,0.006108339,2.73e-05,32.0,83.00000002,2.5300000659831888e-08,0.039559639477,0.00017680390000000002,0.000 MeV
-0.5625,-0.566666667,0.2,0.002614964,1.27e-05,32.0,83.99999998000001,2.5300000659831888e-08,0.01693537851866667,8.224943333333335e-05,0.000 MeV
-0.5625,-0.55,0.2,0.000428661,1.71e-06,32.0,85.0,2.5300000659831888e-08,0.0027761515230000002,1.107453e-05,0.000 MeV
-0.5625,-0.533333333,0.2,5.33e-06,1.85e-08,32.0,86.00000002000002,2.5300000659831888e-08,3.451885666666667e-05,1.1981216666666669e-07,0.000 MeV
-0.5625,-0.516666667,0.2,1.96e-05,7.01e-08,32.0,86.99999998000001,2.5300000659831888e-08,0.00012693613333333335,4.539909666666667e-07,0.000 MeV
-0.5625,-0.5,0.2,5.45e-07,2.73e-09,32.0,88.00000000000001,2.5300000659831888e-08,3.529601666666667e-06,1.7680390000000002e-08,0.000 MeV
-0.5625,-0.483333334,0.2,1.39e-10,6.96e-13,32.0,88.99999996,2.5300000659831888e-08,9.002103333333335e-10,4.507528e-12,0.000 MeV
-0.5625,-0.466666667,0.2,2.44e-12,1.22e-14,32.0,89.99999998000001,2.5300000659831888e-08,1.5802253333333335e-11,7.901126666666667e-14,0.000 MeV
-0.5625,-0.45,0.2,1.54e-13,7.75e-16,32.0,91.00000000000001,2.5300000659831888e-08,9.973553333333334e-13,5.019158333333334e-15,0.000 MeV
-0.525,-0.766666667,0.2,0.0,0.0,33.0,71.99999998000001,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.525,-0.75,0.2,0.0,0.0,33.0,73.00000000000001,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.525,-0.733333333,0.2,1.81e-12,9.02e-15,33.0,74.00000002,2.5300000659831888e-08,1.1722163333333334e-11,5.841652666666668e-14,0.000 MeV
-0.525,-0.716666667,0.2,2.05e-10,7.72e-13,33.0,74.99999998,2.5300000659831888e-08,1.3276483333333334e-09,4.999729333333334e-12,0.000 MeV
-0.525,-0.7,0.2,1.1e-08,4.17e-11,33.0,76.00000000000001,2.5300000659831888e-08,7.123966666666667e-08,2.7006310000000005e-10,0.000 MeV
-0.525,-0.683333333,0.2,8.34e-07,2.93e-09,33.0,77.00000002000002,2.5300000659831888e-08,5.4012620000000005e-06,1.8975656666666668e-08,0.000 MeV
-0.525,-0.666666667,0.2,0.000143698,4.78e-07,33.0,77.99999998000001,2.5300000659831888e-08,0.0009306361473333333,3.0956873333333337e-06,0.000 MeV
-0.525,-0.65,0.2,0.000375443,1.21e-06,33.0,79.00000000000001,2.5300000659831888e-08,0.002431494015666667,7.836363333333335e-06,0.000 MeV
-0.525,-0.633333333,0.2,0.001741947,4.71e-06,33.0,80.00000002000002,2.5300000659831888e-08,0.011281429421000001,3.0503530000000002e-05,0.000 MeV
-0.525,-0.616666667,0.2,0.008905863,1.69e-05,33.0,80.99999998,2.5300000659831888e-08,0.05767733740900001,0.00010945003333333336,0.000 MeV
-0.525,-0.6,0.2,0.02418806,3.05e-05,33.0,82.0,2.5300000659831888e-08,0.1566499392466667,0.0001975281666666667,0.000 MeV
-0.525,-0.583333333,0.2,0.045279742,4.23e-05,33.0,83.00000002,2.5300000659831888e-08,0.2932467024393334,0.0002739489,0.000 MeV
-0.525,-0.566666667,0.2,0.031846307,8.01e-05,33.0,83.99999998000001,2.5300000659831888e-08,0.2062472995676667,0.0005187543000000001,0.000 MeV
-0.525,-0.55,0.2,0.016968861,6.88e-05,33.0,85.0,2.5300000659831888e-08,0.109896000123,0.0004455717333333334,0.000 MeV
-0.525,-0.533333333,0.2,0.002352729,8.51e-06,33.0,86.00000002000002,2.5300000659831888e-08,0.015237057247000002,5.511359666666667e-05,0.000 MeV
-0.525,-0.516666667,0.2,0.004824208,1.76e-05,33.0,86.99999998000001,2.5300000659831888e-08,0.031243179077333337,0.00011398346666666669,0.000 MeV
-0.525,-0.5,0.2,0.000395524,1.53e-06,33.0,88.00000000000001,2.5300000659831888e-08,0.0025615452653333336,9.908790000000002e-06,0.000 MeV
-0.525,-0.483333334,0.2,3.71e-06,1.45e-08,33.0,88.99999996,2.5300000659831888e-08,2.402719666666667e-05,9.390683333333335e-08,0.000 MeV
-0.525,-0.466666667,0.2,8.23e-08,3.15e-10,33.0,89.99999998000001,2.5300000659831888e-08,5.330022333333334e-07,2.0400450000000003e-09,0.000 MeV
-0.525,-0.45,0.2,3.26e-08,1.64e-10,33.0,91.00000000000001,2.5300000659831888e-08,2.111284666666667e-07,1.0621186666666668e-09,0.000 MeV
-0.525,-0.433333333,0.2,2.12e-09,1.05e-11,33.0,92.00000002000002,2.5300000659831888e-08,1.372982666666667e-08,6.80015e-11,0.000 MeV
-0.525,-0.416666666,0.2,8.31e-13,4.15e-15,33.0,93.00000004,2.5300000659831888e-08,5.381833000000001e-12,2.6876783333333336e-14,0.000 MeV
-0.525,-0.4,0.2,0.0,0.0,33.0,94.00000000000001,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.525,-0.383333333,0.2,0.0,0.0,33.0,95.00000002000002,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.4875,-0.733333333,0.2,0.0,0.0,34.0,74.00000002,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.4875,-0.716666667,0.2,0.0,0.0,34.0,74.99999998,2.5300000659831888e-08,0.0,0.0,0.000 MeV
-0.4875,-0.7,0.2,1.22e-12,6.08e-15,34.0,76.00000000000001,2.5300000659831888e-08,7.901126666666667e-12,3.937610666666667e-14,0.000 MeV
-0.4875,-0.683333333,0.2,2.12e-10,5.81e-13,34.0,77.00000002000002,2.5300000659831888e-08,1.3729826666666667e-09,3.7627496666666676e-12,0.000 MeV
-0.4875,-0.666666667,0.2,1.68e-08,5.67e-11,34.0,77.99999998000001,2.5300000659831888e-08,1.0880240000000002e-07,3.6720810000000003e-10,0.000 MeV
-0.4875,-0.65,0.2,1.64e-06,4.6e-09,34.0,79.00000000000001,2.5300000659831888e-08,1.0621186666666667e-05,2.9791133333333337e-08,0.000 MeV
