Z_physical,A_physical,E_physical,E_norm,Yield_pred
26.0,74.99999998,11.0,0.35714285706540816,3.1542247e-10
26.0,74.99999998,12.0,0.3714285713769388,4.4698995e-10
26.0,74.99999998,13.0,0.38571428568846944,4.6166718e-10
26.0,74.99999998,14.0,0.4,7.5736734e-10
26.0,76.00000000000001,0.0,0.19999999963857143,-1.6374288e-12
26.0,76.00000000000001,1.0,0.21428571395010204,-1.6411679e-12
26.0,76.00000000000001,2.0,0.22857142826163265,-1.432386e-12
26.0,76.00000000000001,3.0,0.24285714257316326,-1.1141361e-12
26.0,76.00000000000001,4.0,0.2571428568846939,-8.4823413e-13
26.0,76.00000000000001,5.0,0.2714285711962245,-7.542226e-13
26.0,76.00000000000001,6.0,0.28571428550775513,-7.9995217e-13
26.0,76.00000000000001,7.0,0.2999999998192857,-7.285697e-13
26.0,76.00000000000001,8.0,0.31428571413081635,-2.7645028e-13
26.0,76.00000000000001,9.0,0.328571428442347,7.1957354e-13
26.0,76.00000000000001,10.0,0.3428571427538776,2.1820993e-12
26.0,76.00000000000001,11.0,0.35714285706540816,3.3451338e-12
26.0,76.00000000000001,12.0,0.3714285713769388,5.3177757e-12
26.0,76.00000000000001,13.0,0.38571428568846944,1.0193995e-11
26.0,76.00000000000001,14.0,0.4,1.2048971e-11
27.0,65.99999998,0.0,0.19999999963857143,8.0659596e-08
27.0,65.99999998,1.0,0.21428571395010204,9.5689025e-08
27.0,65.99999998,2.0,0.22857142826163265,1.2206895e-07
27.0,65.99999998,3.0,0.24285714257316326,1.7390744e-07
27.0,65.99999998,4.0,0.2571428568846939,3.0521608e-07
