Z,A,E,Yield,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.7,0.342857143,0.010959365,0.002759943,1.042857143,1.3,1.042857143,1.3557142859,OE,0.4020991923632704,0.8941556090936912,2.7,0.957142857,0,1,1,-1.489795918573557,2.2148809518211805,1.742857143
-0.683333333,0.342857143,0.008937184,0.002501784,1.026190476,1.316666667,1.026190476,1.3511507937420635,OE,0.4066362218742823,0.8905078408308275,2.683333333,0.973809524,0,1,1,-1.5017421607347547,2.1309689131501255,1.709523809
-0.683333333,0.342857143,0.009905388,0.002501784,1.026190476,1.316666667,1.026190476,1.3511507937420635,OE,0.4066362218742823,0.8905078408308275,2.683333333,0.973809524,0,1,1,-1.5017421607347547,2.1309689131501255,1.709523809
-0.683333333,0.342857143,0.009327552,0.002501784,1.026190476,1.316666667,1.026190476,1.3511507937420635,OE,0.4066362218742823,0.8905078408308275,2.683333333,0.973809524,0,1,1,-1.5017421607347547,2.1309689131501255,1.709523809
-0.666666667,0.342857143,0.009316842,0.00283353,1.00952381,1.3333333330000001,1.00952381,1.3460317463301588,OE,0.4111959387629985,0.8868147893572106,2.666666667,0.9904761900000001,0,1,1,-1.5142857142451285,2.048677249802469,1.676190477
-0.666666667,0.342857143,0.010319265,0.00283353,1.00952381,1.3333333330000001,1.00952381,1.3460317463301588,OE,0.4111959387629985,0.8868147893572106,2.666666667,0.9904761900000001,0,1,1,-1.5142857142451285,2.048677249802469,1.676190477
-0.666666667,0.342857143,0.011491122,0.00283353,1.00952381,1.3333333330000001,1.00952381,1.3460317463301588,OE,0.4111959387629985,0.8868147893572106,2.666666667,0.9904761900000001,0,1,1,-1.5142857142451285,2.048677249802469,1.676190477
-0.65,0.342857143,0.004492571,0.002027052,0.9928571429999999,1.35,0.9928571429999999,1.34035714305,OE,0.4157779635979132,0.8830771072757119,2.65,1.007142857,0,1,1,-1.5274725276946575,1.9680059519032123,1.642857143
-0.65,0.342857143,0.005214179,0.002027052,0.9928571429999999,1.35,0.9928571429999999,1.34035714305,OE,0.4157779635979132,0.8830771072757119,2.65,1.007142857,0,1,1,-1.5274725276946575,1.9680059519032123,1.642857143
-0.65,0.342857143,0.003327553,0.002027052,0.9928571429999999,1.35,0.9928571429999999,1.34035714305,OE,0.4157779635979132,0.8830771072757119,2.65,1.007142857,0,1,1,-1.5274725276946575,1.9680059519032123,1.642857143
-0.633333333,0.342857143,0.001737832,0.000806277,0.976190476,1.366666667,0.976190476,1.3341269841920635,OE,0.4203819072920266,0.8792954554760924,2.633333333,1.023809524,0,1,1,-1.541353383971567,1.888955024438465,1.6095238090000001
