A_physical,E_physical,Yield_pred
82.0,11.0,0.90629375
82.0,12.0,0.85250586
82.0,13.0,0.80009675
82.0,14.0,0.74521965
83.00000002,0.0,0.54678684
83.00000002,1.0,0.67007494
83.00000002,2.0,0.806655
83.00000002,3.0,0.9776958
83.00000002,4.0,1.1691995
83.00000002,5.0,1.3290633
83.00000002,6.0,1.4421233
83.00000002,7.0,1.5047034
83.00000002,8.0,1.519324
83.00000002,9.0,1.4930751
83.00000002,10.0,1.4344951
83.00000002,11.0,1.3478069
83.00000002,12.0,1.234066
83.00000002,13.0,1.1030895
83.00000002,14.0,0.97349596
83.99999998000001,0.0,0.76799417
83.99999998000001,1.0,0.92026645
83.99999998000001,2.0,1.0648798
83.99999998000001,3.0,1.1961864
83.99999998000001,4.0,1.3167031
83.99999998000001,5.0,1.4299861
83.99999998000001,6.0,1.5245408
83.99999998000001,7.0,1.5860018
83.99999998000001,8.0,1.6072574
83.99999998000001,9.0,1.5872517
83.99999998000001,10.0,1.5297921
83.99999998000001,11.0,1.442745
83.99999998000001,12.0,1.3332449
83.99999998000001,13.0,1.2068166
83.99999998000001,14.0,1.0685153
85.0,0.0,1.3824674
85.0,1.0,1.6488017
85.0,2.0,1.9233608
85.0,3.0,2.1879103
85.0,4.0,2.4308977
85.0,5.0,2.6251328
85.0,6.0,2.744354
85.0,7.0,2.787306
85.0,8.0,2.7452247
85.0,9.0,2.5990932
85.0,10.0,2.3458345
85.0,11.0,2.0174303
85.0,12.0,1.6831039
85.0,13.0,1.3943273
85.0,14.0,1.1490743
86.00000002000002,0.0,2.2028196
86.00000002000002,1.0,2.4440625
86.00000002000002,2.0,3.0071833
86.00000002000002,3.0,3.520099
86.00000002000002,4.0,3.8425407
86.00000002000002,5.0,3.9685462
86.00000002000002,6.0,3.9172215
86.00000002000002,7.0,3.7312522
86.00000002000002,8.0,3.4412162
86.00000002000002,9.0,3.040959
86.00000002000002,10.0,2.6191466
86.00000002000002,11.0,2.3113883
86.00000002000002,12.0,2.1406906
86.00000002000002,13.0,2.1114194
86.00000002000002,14.0,2.0113435
86.99999998000001,0.0,1.9962159
86.99999998000001,1.0,2.2864532
86.99999998000001,2.0,2.5730646
86.99999998000001,3.0,2.8165812
86.99999998000001,4.0,2.97175
86.99999998000001,5.0,3.014908
