Z,A,E,Yield,Error,N,Z_parity,N_parity,parity_product,parity_category,Z_magic_prox,N_magic_prox,Z_magic_dist,N_magic_dist,Z_shell_closure,N_shell_closure,any_shell_closure,N_over_Z,symmetry_energy,mass_excess
-0.6375,-0.583333333,0.2,5.64e-09,2.81e-11,0.054166666999999946,1.3625,0.054166666999999946,0.07380208378749993,OE,0.4192288880014303,0.623327197586977,2.6375,1.945833333,0,1,1,-0.08496732078444692,-0.20502976221954075,0.6916666669999999
-0.6375,-0.566666667,0.2,4.25e-10,2.13e-12,0.07083333299999994,1.3625,0.07083333299999994,0.09651041621249992,OE,0.4192288880014303,0.628389169578125,2.6375,1.929166667,0,1,1,-0.1111111105884095,-0.22135416632812496,0.7083333329999999
-0.6375,-0.55,0.2,1.03e-11,5.14e-14,0.08749999999999991,1.3625,0.08749999999999991,0.11921874999999989,OE,0.4192288880014303,0.6334485018359904,2.6375,1.9125,0,1,1,-0.1372549019609995,-0.23892045454545444,0.7249999999999999
-0.6375,-0.533333333,0.2,5.56e-17,2.78e-19,0.10416666699999999,1.3625,0.10416666699999999,0.1419270837875,OE,0.4192288880014303,0.6385044774111897,2.6375,1.8958333330000001,0,1,1,-0.16339869333358964,-0.2578450524762573,0.741666667
-0.6,-0.85,0.2,0.0,0.0,-0.25,1.4,1.75,2.4499999999999997,OE,0.4296539516244613,0.5312978760009461,2.6,2.25,0,0,0,0.41666666666736113,-0.03602941176470588,0.35
-0.6,-0.833333333,0.2,0.0,0.0,-0.23333333300000003,1.4,1.766666667,2.4733333338,OE,0.4296539516244613,0.5362887522937726,2.6,2.233333333,0,0,0,0.38888888833398155,-0.04033333342279999,0.36666666699999995
-0.6,-0.816666666,0.2,6.27e-14,3.13e-16,-0.21666666600000006,1.4,1.783333334,2.4966666675999996,OE,0.4296539516244613,0.5412890525456705,2.6,2.216666666,0,0,0,0.361111110000602,-0.044982993390462286,0.3833333339999999
-0.6,-0.8,0.2,4.15e-12,2.08e-14,-0.20000000000000007,1.4,1.7999999999999998,2.5199999999999996,OE,0.4296539516244613,0.54629817243343,2.6,2.2,0,0,0,0.333333333333889,-0.049999999999999975,0.3999999999999999
-0.6,-0.783333333,0.2,9.76e-11,1.03e-12,-0.183333333,1.4,1.816666667,2.5433333337999997,OE,0.4296539516244613,0.551315501264476,2.6,2.183333333,0,0,0,0.30555555500050924,-0.05540780153066999,0.416666667
-0.6,-0.766666667,0.2,5.91e-09,5.67e-11,-0.166666667,1.4,1.8333333330000001,2.5666666662,OE,0.4296539516244613,0.5563404199801315,2.6,2.166666667,0,0,0,0.2777777783337963,-0.061231883937145556,0.433333333
-0.6,-0.75,0.2,2.1e-07,8.55e-10,-0.15000000000000002,1.4,1.85,2.59,OE,0.4296539516244613,0.5613723036756888,2.6,2.15,0,0,0,0.2500000000004167,-0.06749999999999999,0.44999999999999996
-0.6,-0.733333333,0.2,1.02e-06,3.21e-09,-0.13333333300000005,1.4,1.866666667,2.6133333338,OE,0.4296539516244613,0.5664105196066265,2.6,2.133333333,0,0,0,0.22222222166703712,-0.07424242438223137,0.4666666669999999
-0.6,-0.716666667,0.2,1.38e-05,4.24e-08,-0.11666666700000006,1.4,1.883333333,2.6366666661999996,OE,0.4296539516244613,0.5714544282105078,2.6,2.116666667,0,0,0,0.19444444500032418,-0.081492247911709,0.4833333329999999
-0.6,-0.7,0.2,5.84e-05,1.83e-07,-0.09999999999999998,1.4,1.9,2.6599999999999997,OE,0.4296539516244613,0.5765033841392934,2.6,2.1,0,0,0,0.1666666666669444,-0.08928571428571429,0.5
-0.6,-0.683333333,0.2,0.000672479,1.06e-06,-0.08333333300000001,1.4,1.9166666669999999,2.6833333338,OE,0.4296539516244613,0.5815567345697334,2.6,2.083333333,0,0,0,0.13888888833356483,-0.0976626017996728,0.516666667
-0.6,-0.666666667,0.2,0.001542143,2.51e-06,-0.06666666700000001,1.4,1.933333333,2.7066666662,OE,0.4296539516244613,0.5866138202398867,2.6,2.066666667,0,0,0,0.11111111166685188,-0.10666666647999999,0.533333333
-0.6,-0.65,0.2,0.002816992,4.08e-06,-0.050000000000000044,1.4,1.95,2.73,OE,0.4296539516244613,0.5916739764938991,2.6,2.05,0,0,0,0.0833333333334723,-0.11634615384615382,0.5499999999999999
